id,sample,location,sample_date,sample_time,grab_mclr,passive_mclr,spe_mclr,hour,wday,week,month,year,temp_field,do_field,cond_field,ph_field,tds_field,al,p,fe,chloride,nitrate,sulfate,uv_254,turbidity,colour,doc,toc,tn,cyra,mcye_ndaf,sxta,total_cyano,max_temp_c,mean_temp_c,min_temp_c,temp_7d_mean,temp_3d_mean,temp_7d_avgmax,temp_3d_avgmax,total_precip_mm,precip_7d_sum,precip_3d_sum,ul_p,ul_al,ul_fe,lod_cyra,lod_mcye_ndaf,lod_sxta,lod_total_cyano,grab_mclr_lod,passive_mclr_lod,spe_mclr_lod,rdl_al,rdl_p,rdl_fe,rdl_chloride,rdl_nitrate,rdl_sulfate
NA,NA,Lake Banook 1,2022-05-24,00:00:00,0.2,0.05,NA,0,3,21,5,2022,15.8,9.81,811,7.61,638,8.925814065,6.905338622,39.94628564,824214.6,344.7,81826.7,0.05,0.44,8,NA,NA,NA,0,0,0,301074.7905991013,18.2,11.9,5.5,10.857142857142858,11.666666666666666,15.32857142857143,16.333333333333332,0,0.6000000000000001,0.6000000000000001,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-05-31,00:00:00,NA,0.05,NA,0,3,22,5,2022,17.6,8.56,840,7.86,636,7.654277228,19.68459592,38.12334871,776246.9,391.7,65152,0.0495,0.5065,8.5,2.2805,2.1955,NA,0,0,0,57882.57571499602,15.4,10.9,6.3,14.32857142857143,16.166666666666668,19.37142857142857,22.133333333333333,2.3,37.3,2.5,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-06-07,00:00:00,0.2,0.05,NA,0,3,23,6,2022,18.4,8.89,863,5.73,642,6.523977793,8.756989842,44.99485158,723214.5,308.5,66895.8,0.0475,0.4280000000000001,9,2.246,2.098,NA,0,0,0,35278.862439783414,19.7,13.9,8.2,12.457142857142857,13.133333333333333,17.142857142857142,17.566666666666666,0,0.5,0.5,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-06-14,00:00:00,0.2,0.05,NA,0,3,24,6,2022,19.9,7.25,821,7.84,627,6.845999553,7.694792324,37.82950215,612544.1,298,59942.4,0.0475,0.519,10.5,2.191,2.1195,NA,0,0,0,4618.570385068735,16.8,14.6,12.3,15.7,16.2,20.083333333333336,21,7.6,62.7,7.6,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-06-21,00:00:00,0.2,0.05,NA,0,3,25,6,2022,19.6,8.04,857,7.93,621,6.548527115,6.405689855,32.03860284,597859.2,365.5,59164.6,0.048,0.6945,16,2.265,2.205,NA,0,0,0,1415.5208290050507,15.9,12.8,9.7,14.583333333333334,13.3,18.616666666666667,16,0,20.099999999999998,0,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-06-28,00:00:00,0.2,0.05,NA,0,3,26,6,2022,21.3,8.13,876,7.79,612,4.983212615,8.404952872,25.54845101,NA,NA,NA,0.046,0.99,27.5,2.3819999999999997,2.345,NA,0,2.3064493839278195,NA,950.7237911297576,NA,NA,NA,16.516666666666666,17.6,19.71666666666667,20.85,NA,37.7,2.4,NA,NA,NA,45,45,NA,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-07-05,00:00:00,0.2,0.05,NA,0,3,27,7,2022,22.3,7.11,895,7.46,613,3.690584081,22.97904399,20.43985569,NA,NA,NA,0.05,1.88,34,2.394,NA,NA,0,0,0,204.99458872636967,26,19.5,12.9,18.685714285714287,19.2,23.57142857142857,24.366666666666667,0,1.1,0,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-07-12,00:00:00,0.2,0.05,NA,0,3,28,7,2022,22.1,6.56,886,7.52,610,4.105158743,5.770491167,13.9655538,NA,NA,NA,0.049,1.33,30,2.262,2.2685,NA,0,239.47055524857555,0,135010.91542261315,21.4,16.6,11.8,17.085714285714285,17.133333333333333,22.285714285714285,22.8,0,31.8,0.2,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-07-19,00:00:00,0.2,0.05,NA,0,3,29,7,2022,23.5,6.54,909,7.27,608,4.991766798,29.79706069,10.46144987,NA,NA,NA,0.046,0.7455,14.5,2.25,2.097,NA,0,24.87114917280496,5471467075.3404665,119220.13252312296,21,18.5,16,19.614285714285714,19.366666666666667,24.285714285714285,23.46666666666667,21.8,26.3,21.8,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-07-26,00:00:00,0.2,0.05,NA,0,3,30,7,2022,24.9,7.77,933,7.85,609,4.351207661,7.161472543,12.04172534,762546.5,136.9,88993.5,0.0465,0.977,15.5,2.1855,2.1195,NA,0,98.2629221285269,0,8544.227195754613,25.9,20.4,14.8,20.9,20.9,26.214285714285715,26.166666666666668,5.9,6.1000000000000005,6.1000000000000005,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-08-02,00:00:00,0.2,0.05,NA,0,3,31,8,2022,24.2,7.2,924,7.52,611,15.61524233,11.62213339,23.6344029,672922.8,235.2,82136.6,0.046,2.495,14.5,2.497,2.3185,NA,0,61.26944104002633,0,235133.26358406025,22.8,18.7,14.6,19.185714285714287,20,23.728571428571428,24.7,4,15.899999999999999,4,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-08-09,00:00:00,0.2,0.05,NA,0,3,32,8,2022,25,7.45,937,7.75,609,12.10694868,8.546204949,9.967467566,564643.2,148.2,54780.4,0.044,1.56,16,2.292,2.1605,NA,63.58031175165543,244.13665973874333,0,233457.6073240372,23.8,20.1,16.4,20.7,20.96666666666667,25.514285714285716,25.400000000000002,0,0.7,0,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-08-16,00:00:00,0.2,0.05,NA,0,3,33,8,2022,24.3,8.19,909,7.53,599,15.4758767,7.579013413,12.47813176,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,185.77340968375185,0,107775.25046116476,NA,NA,NA,19.84,20.2,23.48,24.8,NA,46,44.2,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-08-23,00:00:00,0.2,0.05,NA,0,3,34,8,2022,24.4,7.72,902,7.48,594,9.747818371,5.500987969,7.166846353,NA,NA,NA,0.046,0.212,2.5,2.527,2.512,0.23935,0,0,0,105647.53462346848,25.6,21.6,17.6,21.775,21.133333333333333,26.400000000000002,25.166666666666668,16.4,16.4,16.4,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
NA,NA,Lake Banook 1,2022-08-30,00:00:00,0.2,0.05,NA,0,3,35,8,2022,24.1,6.42,894,7.47,592,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.095,2.179,0.1878,0,585.9808991018577,0,288424.8011652058,NA,NA,NA,21.333333333333332,20.85,25.183333333333334,24.65,NA,1,1,NA,NA,NA,45,45,45,45,0.2,0.05,NA,2,5,2,12,10,9
