station_name,date_time,cool_deg_days_c,heat_deg_days_c,max_temp_c,mean_temp_c,min_temp_c,total_precip_mm,region
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-01,0,10.6,12.1,7.4,2.6,13.6,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-02,0,16.2,4.4,1.8,-0.8,5,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-03,0,14.2,10.1,3.8,-2.5,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-04,0,18.4,1.5,-0.4,-2.2,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-05,0,14.8,9.7,3.2,-3.4,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-06,0,14.5,11.9,3.5,-4.9,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-07,0,17.3,7.5,0.7,-6.2,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-08,0,13.1,11.7,4.9,-2,1.2,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-09,0,10.3,13.9,7.7,1.5,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-10,0,15.1,5.8,2.9,0,6.3,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-11,0,11.1,13.8,6.9,-0.1,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-12,0,12.6,12.3,5.4,-1.5,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-13,0,11.6,13.1,6.4,-0.4,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-14,0,12.9,13.5,5.1,-3.4,2.7,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-15,0,13.8,7,4.2,1.3,8.3,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-16,0,9.4,15.4,8.6,1.7,4.4,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-17,0,13.8,7.4,4.2,1,6.7,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-18,0,13.2,10.7,4.8,-1.1,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-19,0,13.8,9.7,4.2,-1.4,25.1,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-20,0,12.2,10.3,5.8,1.2,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-21,0,12.2,12.5,5.8,-0.9,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-22,0,9.1,14.8,8.9,3,0.7,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-23,0,14.3,8.5,3.7,-1.2,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-24,0,14.4,7.3,3.6,-0.2,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-25,0,12.1,10.9,5.9,0.8,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-26,0,10.1,15.7,7.9,0,0.5,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-27,0,11.6,7.4,6.4,5.4,16.3,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-28,0,14.6,5.5,3.4,1.2,3.1,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-29,0,16,3.5,2,0.5,11.9,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-04-30,0,16.4,2.8,1.6,0.3,5.3,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-05-01,0,15.6,3.9,2.4,0.9,0.2,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-05-02,0,12.9,11.7,5.1,-1.6,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-05-03,0,11.1,16.8,6.9,-3.1,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-05-04,0,9.1,15.1,8.9,2.7,2,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-05-05,0,10.6,12.5,7.4,2.2,2.6,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-05-06,0,14.3,7.8,3.7,-0.5,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-05-07,0,16.1,8.2,1.9,-4.4,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-05-08,0,13.9,12.2,4.1,-4,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-05-09,0,11.7,16.1,6.3,-3.6,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-05-10,0,10.2,16.2,7.8,-0.6,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-05-11,0,6.8,22.6,11.2,-0.2,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-05-12,0.5,0,27.5,18.5,9.5,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-05-13,0.5,0,28.1,18.5,8.9,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-05-14,0,4.4,18.2,13.6,9,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-05-15,0,6.5,14.3,11.5,8.6,0.5,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-05-16,0,3,20.6,15,9.3,2.1,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-05-17,0,3,20.1,15,9.8,9.3,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-05-18,0,9.2,13.7,8.8,3.9,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-05-19,0,7.8,16.9,10.2,3.5,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-05-20,0,4.8,20.8,13.2,5.5,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-05-21,0,3.2,22.9,14.8,6.7,0.2,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-05-22,3.4,0,29,21.4,13.8,0,nb
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,2022-05-23,0,6.4,19.4,11.6,3.7,0.2,nb
