id,sample,location,sample_date,sample_time,hour,wday,week,month,year,temp_field,do_field,cond_field,ph_field,tds_field,turbidity_field,chl_a,phycocyanin,al,p,fe,fluoride,chloride,nitrite,bromide,nitrate,phosphate,sulfate,uv_254,turbidity,colour,doc,toc,tn,ph_lab,rdl_al,rdl_p,rdl_fe,rdl_fluoride,rdl_chloride,rdl_nitrite,rdl_bromide,rdl_nitrate,rdl_phosphate,rdl_sulfate,chlorophyll_a,alkalinity,dn,ul_p,ul_al,ul_fe,cyra,mcye_ndaf,sxta,total_cyano,lod_cyra,lod_mcye_ndaf,lod_sxta,lod_total_cyano,grab_mclr,passive_mclr,spe_grab_mclr,grab_mclr_lod,passive_mclr_lod,spe_grab_mclr_lod
NA,NA,Banook 1,2022-05-24,00:00:00,0,3,21,5,2022,15.8,9.81,811,7.61,638,NA,NA,NA,8.925814065,6.905338622,39.94628564,NA,824214.6,NA,NA,344.7,144.2,81826.7,0.05,0.44,8,NA,NA,NA,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,0,0,0,301074.7905991013,45,45,45,45,0.2,0.05,NA,0.2,0.05,NA
NA,NA,Banook 1,2022-05-31,00:00:00,0,3,22,5,2022,17.6,8.56,840,7.86,636,NA,NA,NA,7.654277228,19.68459592,38.12334871,NA,776246.9,NA,NA,391.7,455.3,65152,0.0495,0.5065,8.5,2.2805,2.1955,NA,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,0,0,0,57882.57571499602,45,45,45,45,NA,0.05,NA,0.2,0.05,NA
NA,NA,Banook 1,2022-06-07,00:00:00,0,3,23,6,2022,18.4,8.89,863,5.73,642,NA,NA,NA,6.523977793,8.756989842,44.99485158,NA,723214.5,NA,NA,308.5,NA,66895.8,0.0475,0.4280000000000001,9,2.246,2.098,NA,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,0,0,0,35278.862439783414,45,45,45,45,0.2,0.05,NA,0.2,0.05,NA
NA,NA,Banook 1,2022-06-14,00:00:00,0,3,24,6,2022,19.9,7.25,821,7.84,627,NA,NA,NA,6.845999553,7.694792324,37.82950215,NA,612544.1,NA,NA,298,9.2,59942.4,0.0475,0.519,10.5,2.191,2.1195,NA,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,0,0,0,4618.570385068735,45,45,45,45,0.2,0.05,NA,0.2,0.05,NA
NA,NA,Banook 1,2022-06-21,00:00:00,0,3,25,6,2022,19.6,8.04,857,7.93,621,NA,NA,NA,6.548527115,6.405689855,32.03860284,NA,597859.2,NA,NA,365.5,8.7,59164.6,0.048,0.6945,16,2.265,2.205,NA,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,0,0,0,1415.5208290050507,45,45,45,45,0.2,0.05,NA,0.2,0.05,NA
NA,NA,Banook 1,2022-06-28,00:00:00,0,3,26,6,2022,21.3,8.13,876,7.79,612,NA,NA,NA,4.983212615,8.404952872,25.54845101,NA,NA,NA,NA,NA,NA,NA,0.046,0.99,27.5,2.3819999999999997,2.345,NA,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,0,2.3064493839278195,NA,950.7237911297576,45,45,NA,45,0.2,0.05,NA,0.2,0.05,NA
NA,NA,Banook 1,2022-07-05,00:00:00,0,3,27,7,2022,22.3,7.11,895,7.46,613,NA,NA,NA,3.690584081,22.97904399,20.43985569,NA,NA,NA,NA,NA,NA,NA,0.05,1.88,34,2.394,NA,NA,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,0,0,0,204.99458872636967,45,45,45,45,0.2,0.05,NA,0.2,0.05,NA
NA,NA,Banook 1,2022-07-12,00:00:00,0,3,28,7,2022,22.1,6.56,886,7.52,610,NA,NA,NA,4.105158743,5.770491167,13.9655538,NA,NA,NA,NA,NA,NA,NA,0.049,1.33,30,2.262,2.2685,NA,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,0,239.47055524857555,0,135010.91542261315,45,45,45,45,0.2,0.05,NA,0.2,0.05,NA
NA,NA,Banook 1,2022-07-19,00:00:00,0,3,29,7,2022,23.5,6.54,909,7.27,608,NA,NA,NA,4.991766798,29.79706069,10.46144987,NA,NA,NA,NA,NA,NA,NA,0.046,0.7455,14.5,2.25,2.097,NA,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,0,24.87114917280496,5471467075.3404665,119220.13252312296,45,45,45,45,0.2,0.05,NA,0.2,0.05,NA
NA,NA,Banook 1,2022-07-26,00:00:00,0,3,30,7,2022,24.9,7.77,933,7.85,609,NA,NA,NA,4.351207661,7.161472543,12.04172534,NA,762546.5,NA,NA,136.9,NA,88993.5,0.0465,0.977,15.5,2.1855,2.1195,NA,NA,2,5,2,9,12,9,9,10,10,9,NA,NA,NA,NA,NA,NA,0,98.2629221285269,0,8544.227195754613,45,45,45,45,0.2,0.05,NA,0.2,0.05,NA
