id,sample,location,sample_date,sample_time,hour,wday,week,month,year,notes,duplicate,temp_field,do_field,cond_field,ph_field,tds_field,turbidity_field,chl_a,phycocyanin,al,p,fe,fluoride,chloride,nitrite,bromide,nitrate,phosphate,sulfate,uv_254,turbidity,colour,doc,toc,tn,ph_lab,rdl_al,rdl_p,rdl_fe,rdl_fluoride,rdl_chloride,rdl_nitrite,rdl_bromide,rdl_nitrate,rdl_phosphate,rdl_sulfate,chlorophyll_a,alkalinity,dn,ul_p,ul_al,ul_fe,cyra,mcye_ndaf,sxta,total_cyano,lod_cyra,lod_mcye_ndaf,lod_sxta,lod_total_cyano,grab_mclr,passive_mclr,spe_grab_mclr,grab_mclr_lod,passive_mclr_lod,spe_grab_mclr_lod
rgtld-11,col_053023,Collins Park,2023-05-30,11:38:00,11,3,22,5,2023,NA,NA,17.5,12.15,165,7.53,125.3,NA,NA,NA,26.648098769002917,5.283990048845828,48.53053665814457,31.0501,155284.5272,2.2261,25.34,528.965,17.4631,12472.9665,0.03466666666666666,1.0843333333333334,12,3.704,4.828,0.2202,NA,2,5,2,9,12,9,9,10,10,9,NA,24.8787,NA,250,250,250,0,0,0,7299.38009039821,45,45,45,45,0,0,0.00274603873355263,0.22114,0.00631578947368421,0.00533827242598684
isecn-38,col_060623,Collins Park,2023-06-06,11:25:00,11,3,23,6,2023,Missing/inaccessible samplers,NA,15.2,9.31,148,7.68,118.3,NA,NA,NA,50.62757261945811,4.052655018949976,79.06970271203018,24.791,72248.02959999998,2.9356,27.18,608.9705,124.6237,12215.771376319975,0.12933333333333333,2.1,17.333333333333332,4.074,4.025,0.1701,NA,2,5,2,9,12,9,9,10,10,9,NA,1.8269,0.2192,250,250,1000,0,0,1.6263162572894163,66822.51352538582,9,9,9,9,0,NA,0,0.22114,0.00631578947368421,0.00533827242598684
pbdkj-77,col_061323,Collins Park,2023-06-13,00:00:00,0,3,24,6,2023,NA,NA,18.9,7.7,197.5,7.22,145.3,NA,NA,NA,80.3734978018699,18.81625461732359,130.95464111904943,62.7966,118889.6195,37.4162,61.287,646.4216,49.9565,9970.508,0.15433333333333332,7.574000000000001,26.333333333333332,4.582,NA,NA,NA,2,5,2,9,12,9,9,10,10,9,NA,2.1346,0.22285,250,250,250,0,0,0,100610.05998922564,18,18,18,18,0,NA,0.00277767121710526,0.22114,NA,0.00533827242598684
jgxia-109,col_062023,Collins Park,2023-06-20,11:34:00,11,3,25,6,2023,NA,NA,17.4,7.82,153.5,7.28,116.6,NA,NA,NA,42.04051608769401,16.62470226922306,81.30918672349502,NA,NA,NA,NA,NA,NA,NA,0.1673333333333333,1.5126666666666668,27.333333333333332,4.583,4.69,0.225,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,14.2585,0.2041,250,1000,1000,0,0,0,198105.5453391508,18,18,18,18,0,NA,0,0.22114,NA,0.00533827242598684
chwxf-130,col_062723,Collins Park,2023-06-27,12:08:00,12,3,26,6,2023,NA,NA,20.7,8.12,163.5,7.16,115.8,NA,NA,NA,38.695917010801125,23.07706168172017,87.4513858788627,25.0813,55649.7841,1.7134,21.95,314.9384,8.510099999999998,9971.0912,0.1456666666666667,2.7146666666666666,28.333333333333332,4.207,3.975,0.1856,NA,2,5,2,9,12,9,9,10,10,9,NA,16.5204,0.1896,250,1000,1000,0,5.747755856654689,0,113644.36777809304,10.588235294117649,10.588235294117649,10.588235294117649,10.588235294117649,0,0,0,0.22114,0.00631578947368421,0.00533827242598684
adqzy-173,col_071123,Collins Park,2023-07-11,10:45:00,10,3,28,7,2023,NA,NA,23.5,7.27,158.8,7.32,106,NA,NA,NA,68.6104583418537,19.633570114042104,195.17062806380375,NA,NA,NA,NA,NA,NA,NA,0.21833333333333335,2.0836666666666668,41.666666666666664,4.871,5.17,0.2052,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,11.2969,0.1683,250,1000,1000,1.181833105318712,28.605656504233274,0,87170.18703880627,2.857142857142857,2.857142857142857,2.857142857142857,2.857142857142857,0,0.01204086,0.00222446110197368,0.22114,0.00631578947368421,0.00533827242598684
tuagc-199,col_071823,Collins Park,2023-07-18,10:30:00,10,3,29,7,2023,NA,NA,24.5,5.34,156.3,6.95,102.9,NA,NA,NA,62.72665848512049,8.275517898822097,161.35828374773905,24.7113,46672.3929,4.1739,21.937,375.4721,4.524675776285243,9178.3053,0.229,1.290333333333333,35,5.207,5.234,0.1922,NA,2,5,2,9,12,9,9,10,10,9,NA,12.0468,0.2128,250,1000,1000,0,344.97375273719763,0,57889.46690824315,2.769230769230769,2.769230769230769,2.769230769230769,2.769230769230769,0,0,0.01030181600328947,0.22114,0.00631578947368421,0.00533827242598684
gmwvq-220,col_072423,Collins Park,2023-07-24,10:35:00,10,2,30,7,2023,Post-flood,NA,23,5.25,113.3,6.85,75.4,NA,NA,NA,205.97273243126529,11.060633785306562,267.49609846626845,NA,NA,NA,NA,NA,NA,NA,0.3213333333333333,13.932,59.333333333333336,6.568,6.588,0.204,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,9.0994,0.212,250,1000,1000,0,159.52112998443846,0,27137.96659354035,3,3,3,3,0,NA,0.01654972376644737,0.22114,NA,0.00533827242598684
grnef-230,col_072523,Collins Park,2023-07-25,10:51:00,10,3,30,7,2023,NA,NA,24,5.2,118.2,7.23,78.3,NA,NA,NA,163.6796429970266,7.854847198699245,208.45902372162817,17.8932,31763.8572,1.7118,16.41,480.6287,1.024,6574.2593,0.3233333333333333,8.443333333333333,57.666666666666664,6.457,6.599,0.2134,NA,2,5,2,9,12,9,9,10,10,9,NA,6.0506,0.1897,250,1000,1000,23.599462480300677,130.61219593013487,0,21006.50699706075,3,3,3,3,0,0.01397401894736842,0.00591789615131578,0.22114,0.00631578947368421,0.00533827242598684
iwmeb-249,col_072823,Collins Park,2023-07-28,00:00:00,0,6,30,7,2023,NA,NA,24.4,5.25,132.6,7.03,87.2,NA,NA,NA,111.72962708330948,53.12429187711729,156.51905643632057,18.8623,38681.5875,2.7914,18.63,445.0581,NA,7146.7857,0.299,2.0233333333333334,52.666666666666664,6.361,6.623,0.2426,NA,2,5,2,9,12,9,9,10,10,9,NA,11.2973,0.2343,250,1000,1000,261.4076498965739,125.20545102009196,0,42690.12117244169,3,3,3,3,NA,NA,0.01117770921052631,0.22114,NA,0.00533827242598684
exfcb-265,col_080123,Collins Park,2023-08-01,00:00:00,0,3,31,8,2023,NA,NA,24.8,5.14,154.7,7.16,100.9,NA,NA,NA,66.30508054588732,8.308264449433775,139.94042368335616,20.5097,43327.3503,4.0685,21.321,300.4705,3.4018,16328.0446,0.26733333333333337,1.273,38.333333333333336,5.782,5.986,0.232,NA,2,5,2,9,12,9,9,10,10,9,NA,13.5246,0.178,250,1000,1000,8.916130010616337,284.1197537976993,0,11365.25808974356,2.25,2.25,2.25,2.25,0,0.00677916736842105,3.918730592105263e-4,0.22114,0.00631578947368421,0.00533827242598684
