model_type,variable,avg_importance,lower,upper
Tested on 2024,lag_mcye,100,100,100
Tested on Location,lag_mcye,100,100,100
Tested on Location,mcye_ndaf,82.43601741185552,78.44245259434561,87.71213370449196
Tested on 2024,mcye_ndaf,63.99074748966502,63.99074748966502,63.99074748966502
Tested on 2024,total_cyano,57.46876644090038,57.46876644090038,57.46876644090038
Tested on 2024,lag_tc,55.23478519739864,55.23478519739864,55.23478519739864
Tested on Location,temp_7d_mean,54.03766837155856,51.32937235459417,54.38170663368184
Tested on Location,precip_7d_sum,52.710138401001046,50.63491138474514,56.5791252861608
Tested on 2024,ph_field,52.4774903283007,52.4774903283007,52.4774903283007
Tested on Location,tds_field,52.23510473946813,49.224889429250474,54.91707329983652
Tested on Location,chloride,52.06361605103437,50.18815840938893,54.803668995317366
Tested on Location,cond_field,51.12844740739994,49.52351377530057,54.58923131911956
Tested on Location,temp_7d_avgmax,50.99676276490199,48.92970490272799,52.91287098128652
Tested on Location,uv_254,50.719582319771,47.49445977486078,54.79267968348823
Tested on Location,colour,49.55741179114835,45.822557195369214,51.68223694419519
Tested on Location,max_temp_c,49.360768286243605,47.103295827184276,51.621918160392084
Tested on Location,temp_field,49.278854353082544,46.88047190261985,52.80410562218712
Tested on 2024,al,49.14933512581469,49.14933512581469,49.14933512581469
Tested on 2024,toc,48.000831410509576,48.000831410509576,48.000831410509576
Tested on Location,temp_3d_avgmax,47.82065064179568,45.08900262712013,50.439328667102274
Tested on 2024,fe,47.391371350326665,47.391371350326665,47.391371350326665
Tested on Location,nitrate,47.08056930521814,43.005543087480966,48.5169520653734
Tested on 2024,uv_254,46.645735720998815,46.645735720998815,46.645735720998815
Tested on Location,temp_3d_mean,45.901115612680265,44.90383399244194,48.17585974018262
Tested on 2024,doc,45.0455374266592,45.0455374266592,45.0455374266592
Tested on 2024,colour,45.02132090005335,45.02132090005335,45.02132090005335
Tested on 2024,precip_7d_sum,44.37224477961923,44.37224477961923,44.37224477961923
Tested on Location,toc,43.4901683209492,40.56703162101465,45.75159475113537
Tested on Location,ph_field,43.269873988839194,41.286999867504086,44.96540749198534
Tested on Location,doc,42.78336623231222,40.159835230482656,46.550506663283016
Tested on Location,turbidity,42.29318619728171,38.89320751293961,45.01619865010454
Tested on Location,lag_tc,41.78492720342367,40.487659561088805,45.090687434945885
Tested on 2024,tds_field,41.43395354008807,41.43395354008807,41.43395354008807
Tested on Location,sulfate,40.4170525607248,38.00328631566036,42.49337810417181
Tested on Location,tn_tp_ratio,40.09780448922841,38.37608655248307,42.18229270758612
Tested on 2024,cond_field,39.00606317979248,39.00606317979248,39.00606317979248
Tested on 2024,do_field,38.838176566256024,38.838176566256024,38.838176566256024
Tested on Location,mean_temp_c,38.505538085939776,36.97003142629718,40.349488854543836
Tested on 2024,temp_field,38.40929635352245,38.40929635352245,38.40929635352245
Tested on Location,do_field,38.21031268176477,37.16797111128437,40.61411099733333
Tested on Location,precip_3d_sum,38.187904774119595,37.32129706163101,39.176977170410865
Tested on 2024,temp_3d_avgmax,37.843281306057214,37.843281306057214,37.843281306057214
Tested on Location,tn,37.73642544450191,36.163108205258176,40.59714958750064
Tested on 2024,temp_3d_mean,37.69808707416666,37.69808707416666,37.69808707416666
Tested on Location,min_temp_c,37.49717839653525,35.952711732967124,38.23023722546262
Tested on 2024,chloride,37.25175190506757,37.25175190506757,37.25175190506757
Tested on 2024,sulfate,36.8850628190396,36.8850628190396,36.8850628190396
Tested on Location,total_cyano,36.54759191431098,35.87791602970883,39.246297821984655
Tested on Location,fe,35.57184006030778,33.24050670319685,38.57677992046517
Tested on 2024,nitrate,35.385475362517404,35.385475362517404,35.385475362517404
Tested on 2024,tn_tp_ratio,34.353144547067885,34.353144547067885,34.353144547067885
Tested on 2024,temp_7d_avgmax,33.98893447102022,33.98893447102022,33.98893447102022
Tested on 2024,temp_7d_mean,33.96601986100203,33.96601986100203,33.96601986100203
Tested on Location,al,33.68315326069533,33.431497174778414,37.26745511729574
Tested on 2024,turbidity,33.48554442721599,33.48554442721599,33.48554442721599
Tested on 2024,p,33.26589088114915,33.26589088114915,33.26589088114915
Tested on 2024,tn,33.02680530713153,33.02680530713153,33.02680530713153
Tested on Location,p,31.918420925683254,30.84217643213303,34.5756611866112
Tested on 2024,min_temp_c,29.926330804828954,29.926330804828954,29.926330804828954
Tested on 2024,max_temp_c,29.422276504770608,29.422276504770608,29.422276504770608
Tested on 2024,precip_3d_sum,29.020285110633743,29.020285110633743,29.020285110633743
Tested on 2024,mean_temp_c,28.804370833408264,28.804370833408264,28.804370833408264
Tested on Location,total_precip_mm,22.593915437898215,20.59410467302013,23.603254224024504
Tested on 2024,total_precip_mm,18.16456400112517,18.16456400112517,18.16456400112517
