model_type,variable,avg_importance,lower,upper
Tested on 2024,tds_field,100,100,100
Tested on Location,mcye_ndaf,100,95.06182270144187,100
Tested on Location,lag_mcye,99.5304899948228,97.22745688970454,100
Tested on 2024,total_cyano,99.0396861160577,99.0396861160577,99.0396861160577
Tested on 2024,mcye_ndaf,97.75968954216724,97.75968954216724,97.75968954216724
Tested on 2024,chloride,96.99715341534169,96.99715341534169,96.99715341534169
Tested on 2024,lag_tc,93.12397105809607,93.12397105809607,93.12397105809607
Tested on 2024,cond_field,93.06679373487141,93.06679373487141,93.06679373487141
Tested on 2024,toc,91.9117990511649,91.9117990511649,91.9117990511649
Tested on 2024,uv_254,91.74535157661205,91.74535157661205,91.74535157661205
Tested on 2024,sulfate,90.74889084217655,90.74889084217655,90.74889084217655
Tested on 2024,doc,90.07113216287736,90.07113216287736,90.07113216287736
Tested on 2024,fe,88.77677998641289,88.77677998641289,88.77677998641289
Tested on 2024,lag_mcye,88.65781194199397,88.65781194199397,88.65781194199397
Tested on 2024,al,85.07153462357267,85.07153462357267,85.07153462357267
Tested on 2024,colour,84.83865788666382,84.83865788666382,84.83865788666382
Tested on 2024,turbidity,80.70545289405062,80.70545289405062,80.70545289405062
Tested on Location,tds_field,80.4367722002172,69.06557343864336,86.66471190713793
Tested on Location,cond_field,79.49728592558077,65.4554102110991,87.35141863726344
Tested on Location,chloride,75.73906382469774,54.93884135704236,82.48051884182655
Tested on 2024,do_field,75.72473575177338,75.72473575177338,75.72473575177338
Tested on 2024,tn,73.22631628203254,73.22631628203254,73.22631628203254
Tested on 2024,p,73.07898560179768,73.07898560179768,73.07898560179768
Tested on Location,uv_254,72.83629807936951,54.56613848203513,80.00746093691221
Tested on 2024,nitrate,71.46238430578367,71.46238430578367,71.46238430578367
Tested on Location,toc,71.09371101845483,45.3978119885968,76.48669833402346
Tested on Location,al,70.80600511872775,46.639808189308965,74.25732946830857
Tested on Location,sulfate,70.63606574854849,54.28744573316614,76.6816432987265
Tested on Location,total_cyano,69.50675793169167,63.97720174328404,77.93656992367227
Tested on Location,doc,69.48332830167165,44.35636641866257,75.40142828614479
Tested on 2024,ph_field,68.85419009653447,68.85419009653447,68.85419009653447
Tested on 2024,temp_3d_mean,68.61085829776222,68.61085829776222,68.61085829776222
Tested on 2024,tn_tp_ratio,68.05617727211329,68.05617727211329,68.05617727211329
Tested on 2024,temp_field,67.64206253928872,67.64206253928872,67.64206253928872
Tested on 2024,mean_temp_c,67.41639101411269,67.41639101411269,67.41639101411269
Tested on 2024,temp_3d_avgmax,66.35220015337386,66.35220015337386,66.35220015337386
Tested on 2024,temp_7d_avgmax,66.29553713966034,66.29553713966034,66.29553713966034
Tested on 2024,min_temp_c,65.53187389757679,65.53187389757679,65.53187389757679
Tested on Location,lag_tc,65.28076316461019,44.119062672481974,69.00756008674271
Tested on 2024,temp_7d_mean,65.19593054755794,65.19593054755794,65.19593054755794
Tested on Location,colour,64.63325493967503,30.390675839296847,69.70194739035438
Tested on 2024,max_temp_c,64.37718761328638,64.37718761328638,64.37718761328638
Tested on Location,tn,63.37292166769891,45.208976717801846,69.53551513432802
Tested on Location,precip_7d_sum,62.83202109928487,40.81466127880793,65.37614595486673
Tested on Location,fe,61.50878821238657,40.562469148627564,66.41154251863935
Tested on Location,turbidity,60.90009013100312,48.369260206302286,70.67243275321482
Tested on Location,nitrate,60.074539651929385,37.89865737729816,65.16943068772053
Tested on 2024,precip_7d_sum,59.93188199457521,59.93188199457521,59.93188199457521
Tested on Location,p,58.38288431440233,37.152250031263726,62.980021788512545
Tested on Location,do_field,58.30349887207634,41.947784298373065,64.46813864691413
Tested on Location,temp_field,58.052858662321846,33.89795696826005,62.66467362149044
Tested on Location,temp_7d_avgmax,57.21128796756537,23.22867990887006,60.76292985991461
Tested on Location,ph_field,56.99596005560724,33.936688131154256,61.53709836682617
Tested on Location,tn_tp_ratio,56.88497760521542,34.2373051293999,60.973646643596055
Tested on Location,temp_7d_mean,56.68707767376432,23.184847330918526,60.77703825790499
Tested on 2024,precip_3d_sum,55.89288171468879,55.89288171468879,55.89288171468879
Tested on Location,temp_3d_mean,55.63719851110837,24.80721157656774,58.75212050401047
Tested on Location,mean_temp_c,54.791083303481216,22.771435093980855,59.02333172679222
Tested on Location,temp_3d_avgmax,54.74285570870158,23.676741798768454,59.20877374493103
Tested on Location,max_temp_c,54.255717109287225,25.141550653009272,59.51858488368329
Tested on Location,min_temp_c,54.013475021111624,23.547356169347168,58.950160417335766
Tested on Location,precip_3d_sum,53.40879782820712,35.51345873056644,58.43446089834566
Tested on 2024,total_precip_mm,43.86597192456157,43.86597192456157,43.86597192456157
Tested on Location,total_precip_mm,38.85551442639014,20.229133372505558,42.83210191405257
